GEO.id,GEOID,GEO.display-label,P003001,HD02_VD01,HD01_VD02,HD02_VD02,P003003,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US45001950100,45001950100,"Census Tract 9501, Abbeville County, South Carolina",3171,329,2749,313,394,165,7,12,2,4,0,13,0,13,19,22,0,13,19,22
1400000US45001950200,45001950200,"Census Tract 9502, Abbeville County, South Carolina",4213,454,3066,378,1046,276,9,13,0,13,0,13,13,26,79,60,0,13,79,60
1400000US45001950300,45001950300,"Census Tract 9503, Abbeville County, South Carolina",3218,386,3028,375,167,95,0,13,0,13,0,13,0,13,23,25,10,16,13,20
1400000US45001950400,45001950400,"Census Tract 9504, Abbeville County, South Carolina",6169,440,4616,392,1508,258,0,18,12,19,0,18,0,18,33,32,0,18,33,32
1400000US45001950500,45001950500,"Census Tract 9505, Abbeville County, South Carolina",5248,398,2541,303,2566,325,9,9,0,18,0,18,0,18,132,111,0,18,132,111
1400000US45001950600,45001950600,"Census Tract 9506, Abbeville County, South Carolina",3214,356,1552,201,1627,348,5,8,0,13,0,13,0,13,30,38,0,13,30,38
1400000US45003020100,45003020100,"Census Tract 201, Aiken County, South Carolina",4743,444,3360,411,1047,294,26,43,6,12,0,13,282,258,22,31,0,13,22,31
1400000US45003020200,45003020200,"Census Tract 202, Aiken County, South Carolina",5728,769,4192,629,1258,509,104,144,0,18,0,18,174,172,0,18,0,18,0,18
1400000US45003020301,45003020301,"Census Tract 203.01, Aiken County, South Carolina",2490,381,1743,367,348,213,0,13,11,19,0,13,378,372,10,17,0,13,10,17
1400000US45003020302,45003020302,"Census Tract 203.02, Aiken County, South Carolina",5254,661,2637,543,2557,503,0,18,19,26,0,18,41,67,0,18,0,18,0,18
1400000US45003020400,45003020400,"Census Tract 204, Aiken County, South Carolina",6012,678,4306,579,1537,430,0,18,0,18,0,18,99,98,70,75,0,18,70,75
1400000US45003020500,45003020500,"Census Tract 205, Aiken County, South Carolina",7271,755,5966,704,1110,389,0,18,0,18,0,18,87,109,108,92,0,18,108,92
1400000US45003020601,45003020601,"Census Tract 206.01, Aiken County, South Carolina",3631,327,2603,311,835,167,0,13,93,97,0,13,14,24,86,96,0,13,86,96
1400000US45003020602,45003020602,"Census Tract 206.02, Aiken County, South Carolina",6982,808,3674,671,2461,627,0,18,0,18,1,3,504,610,342,198,0,18,342,198
1400000US45003020701,45003020701,"Census Tract 207.01, Aiken County, South Carolina",6004,518,4435,443,1365,433,0,18,38,51,20,33,0,18,146,97,0,18,146,97
1400000US45003020702,45003020702,"Census Tract 207.02, Aiken County, South Carolina",4296,622,2072,399,1525,479,1,2,67,69,0,13,358,308,273,184,0,13,273,184
1400000US45003020801,45003020801,"Census Tract 208.01, Aiken County, South Carolina",2712,357,2588,341,66,55,0,13,46,55,0,13,0,13,12,20,0,13,12,20
1400000US45003020802,45003020802,"Census Tract 208.02, Aiken County, South Carolina",5249,538,3888,480,1018,250,0,18,71,63,0,18,100,144,172,129,14,22,158,127
1400000US45003020901,45003020901,"Census Tract 209.01, Aiken County, South Carolina",2561,332,1727,292,703,183,38,56,0,13,0,13,0,13,93,83,0,13,93,83
1400000US45003020902,45003020902,"Census Tract 209.02, Aiken County, South Carolina",6241,738,4391,740,1829,545,0,18,21,36,0,18,0,18,0,18,0,18,0,18
1400000US45003021001,45003021001,"Census Tract 210.01, Aiken County, South Carolina",4962,385,3508,359,900,280,32,30,48,75,0,13,277,243,197,112,48,43,149,114
1400000US45003021002,45003021002,"Census Tract 210.02, Aiken County, South Carolina",6085,818,4895,667,609,311,0,18,46,62,0,18,434,502,101,114,0,18,101,114
1400000US45003021101,45003021101,"Census Tract 211.01, Aiken County, South Carolina",2685,355,2303,373,103,91,0,13,0,13,0,13,233,153,46,75,0,13,46,75
1400000US45003021102,45003021102,"Census Tract 211.02, Aiken County, South Carolina",3783,451,3146,530,533,340,0,13,0,13,0,13,104,159,0,13,0,13,0,13
1400000US45003021201,45003021201,"Census Tract 212.01, Aiken County, South Carolina",5563,448,5026,485,378,175,0,18,145,141,0,18,14,23,0,18,0,18,0,18
