GEO.id,GEOID,GEO.display-label,P003001,HD02_VD01,P003003_1,HD02_VD02,P003003,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone
1400000US47001020100,47001020100,"Census Tract 201, Anderson County, Tennessee",3530,319,2106,290,1265,331
1400000US47001020201,47001020201,"Census Tract 202.01, Anderson County, Tennessee",3642,291,2885,366,372,276
1400000US47001020202,47001020202,"Census Tract 202.02, Anderson County, Tennessee",4254,323,3699,352,354,210
1400000US47001020300,47001020300,"Census Tract 203, Anderson County, Tennessee",3985,290,3417,307,176,107
1400000US47001020400,47001020400,"Census Tract 204, Anderson County, Tennessee",4476,464,4062,437,292,233
1400000US47001020500,47001020500,"Census Tract 205, Anderson County, Tennessee",3218,430,2875,412,198,203
1400000US47001020600,47001020600,"Census Tract 206, Anderson County, Tennessee",2582,167,2317,196,163,158
1400000US47001020700,47001020700,"Census Tract 207, Anderson County, Tennessee",1714,390,1667,389,0,127
1400000US47001020800,47001020800,"Census Tract 208, Anderson County, Tennessee",5043,516,5005,520,0,127
1400000US47001020901,47001020901,"Census Tract 209.01, Anderson County, Tennessee",5495,396,5473,396,0,127
1400000US47001020902,47001020902,"Census Tract 209.02, Anderson County, Tennessee",5796,468,5635,467,0,127
1400000US47001021000,47001021000,"Census Tract 210, Anderson County, Tennessee",5935,540,5835,541,9,14
1400000US47001021100,47001021100,"Census Tract 211, Anderson County, Tennessee",3966,332,3637,327,172,151
1400000US47001021201,47001021201,"Census Tract 212.01, Anderson County, Tennessee",5072,362,4750,378,86,92
1400000US47001021202,47001021202,"Census Tract 212.02, Anderson County, Tennessee",4912,337,4865,333,0,127
1400000US47001021301,47001021301,"Census Tract 213.01, Anderson County, Tennessee",3528,278,3467,285,0,127
1400000US47001021302,47001021302,"Census Tract 213.02, Anderson County, Tennessee",7109,504,7100,505,9,16
1400000US47001980100,47001980100,"Census Tract 9801, Anderson County, Tennessee",0,127,0,127,0,127
1400000US47003950100,47003950100,"Census Tract 9501, Bedford County, Tennessee",3830,434,3560,431,241,146
1400000US47003950200,47003950200,"Census Tract 9502, Bedford County, Tennessee",6968,619,6670,586,50,45
1400000US47003950300,47003950300,"Census Tract 9503, Bedford County, Tennessee",3583,329,3550,328,21,31
1400000US47003950401,47003950401,"Census Tract 9504.01, Bedford County, Tennessee",5119,628,4126,588,297,144
1400000US47003950402,47003950402,"Census Tract 9504.02, Bedford County, Tennessee",6110,697,4408,588,777,421
